Zustand Uhrzeit: 10:00:00: STR 30 | EIN 0 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:05:19: STR 0 | EIN 3 | BAU 2 | PAR 4 [STA 8] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:08:38: STR 0 | EIN 3 | BAU 1 | PAR 5 [STA 7] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:08:39: STR 0 | EIN 3 | BAU 0 | PAR 5 [STA 6] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:05:29: STR 0 | EIN 3 | BAU 0 | PAR 5 [STA 6] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:16:04: STR 0 | EIN 3 | BAU 0 | PAR 4 [STA 6] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:11:47: STR 0 | EIN 3 | BAU 1 | PAR 3 [STA 6] | AUS 2 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:10:35: STR 0 | EIN 3 | BAU 1 | PAR 2 [STA 6] | AUS 3 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:15:07: STR 0 | EIN 3 | BAU 0 | PAR 2 [STA 6] | AUS 3 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:11:57: STR 0 | EIN 3 | BAU 0 | PAR 2 [STA 6] | AUS 3 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:11:58: STR 0 | EIN 2 | BAU 1 | PAR 2 [STA 6] | AUS 3 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:11:59: STR 0 | EIN 1 | BAU 2 | PAR 2 [STA 6] | AUS 3 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:15:18: STR 0 | EIN 1 | BAU 1 | PAR 3 [STA 5] | AUS 3 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:15:19: STR 0 | EIN 1 | BAU 0 | PAR 4 [STA 4] | AUS 3 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:12:09: STR 0 | EIN 1 | BAU 0 | PAR 4 [STA 4] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:12:10: STR 0 | EIN 1 | BAU 1 | PAR 4 [STA 4] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:12:11: STR 0 | EIN 1 | BAU 2 | PAR 4 [STA 4] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:12:12: STR 0 | EIN 1 | BAU 3 | PAR 4 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:15:30: STR 0 | EIN 1 | BAU 2 | PAR 4 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:15:31: STR 0 | EIN 1 | BAU 1 | PAR 4 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:15:32: STR 0 | EIN 1 | BAU 0 | PAR 4 [STA 4] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:22:42: STR 0 | EIN 1 | BAU 0 | PAR 3 [STA 4] | AUS 1 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:16:01: STR 0 | EIN 1 | BAU 0 | PAR 2 [STA 4] | AUS 2 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:16:02: STR 0 | EIN 0 | BAU 1 | PAR 2 [STA 4] | AUS 2 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:19:22: STR 0 | EIN 0 | BAU 0 | PAR 3 [STA 3] | AUS 2 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 11:16:12: STR 0 | EIN 0 | BAU 0 | PAR 3 [STA 3] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:16:13: STR 0 | EIN 0 | BAU 1 | PAR 3 [STA 3] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:16:14: STR 0 | EIN 0 | BAU 2 | PAR 3 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:19:33: STR 0 | EIN 0 | BAU 1 | PAR 3 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:19:34: STR 0 | EIN 0 | BAU 0 | PAR 3 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:32:01: STR 0 | EIN 0 | BAU 0 | PAR 2 [STA 3] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:32:02: STR 0 | EIN 0 | BAU 1 | PAR 2 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:35:22: STR 0 | EIN 0 | BAU 0 | PAR 2 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:39:12: STR 0 | EIN 0 | BAU 0 | PAR 1 [STA 3] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:38:48: STR 0 | EIN 0 | BAU 1 | PAR 0 [STA 3] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:38:49: STR 0 | EIN 0 | BAU 2 | PAR 0 [STA 3] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:38:50: STR 0 | EIN 0 | BAU 3 | PAR 0 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:42:08: STR 0 | EIN 0 | BAU 2 | PAR 0 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:42:09: STR 0 | EIN 0 | BAU 1 | PAR 0 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:42:10: STR 0 | EIN 0 | BAU 0 | PAR 0 [STA 3] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:00:00: STR 30 | EIN 0 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:03:23: STR 29 | EIN 1 | BAU 0 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:03:24: STR 29 | EIN 0 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:03:28: STR 28 | EIN 1 | BAU 1 | PAR 0 [STA 30] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:06:44: STR 28 | EIN 1 | BAU 0 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:06:45: STR 28 | EIN 0 | BAU 1 | PAR 1 [STA 29] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:10:05: STR 28 | EIN 0 | BAU 0 | PAR 2 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:13:33: STR 27 | EIN 1 | BAU 0 | PAR 2 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:13:34: STR 27 | EIN 0 | BAU 1 | PAR 2 [STA 28] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:13:46: STR 27 | EIN 0 | BAU 1 | PAR 1 [STA 28] | AUS 1 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:13:51: STR 26 | EIN 1 | BAU 1 | PAR 1 [STA 28] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:16:54: STR 26 | EIN 1 | BAU 0 | PAR 2 [STA 27] | AUS 1 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:14:01: STR 26 | EIN 1 | BAU 0 | PAR 2 [STA 27] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:14:02: STR 26 | EIN 1 | BAU 1 | PAR 2 [STA 27] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:17:03: STR 25 | EIN 2 | BAU 1 | PAR 2 [STA 27] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:17:22: STR 25 | EIN 2 | BAU 0 | PAR 2 [STA 27] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:17:13: STR 25 | EIN 2 | BAU 0 | PAR 2 [STA 27] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:17:14: STR 25 | EIN 1 | BAU 1 | PAR 2 [STA 27] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:17:15: STR 25 | EIN 0 | BAU 2 | PAR 2 [STA 27] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:20:34: STR 25 | EIN 0 | BAU 1 | PAR 3 [STA 26] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:20:35: STR 25 | EIN 0 | BAU 0 | PAR 4 [STA 25] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:22:52: STR 24 | EIN 1 | BAU 0 | PAR 4 [STA 25] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:22:53: STR 24 | EIN 0 | BAU 1 | PAR 4 [STA 25] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:23:22: STR 23 | EIN 1 | BAU 1 | PAR 4 [STA 25] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:24:20: STR 22 | EIN 2 | BAU 1 | PAR 4 [STA 25] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:24:45: STR 21 | EIN 3 | BAU 1 | PAR 4 [STA 25] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:26:13: STR 21 | EIN 3 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:23:32: STR 21 | EIN 3 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:27:17: STR 20 | EIN 4 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:28:59: STR 19 | EIN 5 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:29:51: STR 18 | EIN 6 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:30:17: STR 17 | EIN 7 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:30:36: STR 16 | EIN 8 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:37: STR 15 | EIN 9 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:31:46: STR 14 | EIN 10 | BAU 0 | PAR 5 [STA 24] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:17: STR 14 | EIN 10 | BAU 0 | PAR 4 [STA 24] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:36:18: STR 14 | EIN 10 | BAU 1 | PAR 4 [STA 24] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:39:38: STR 14 | EIN 10 | BAU 0 | PAR 4 [STA 24] | AUS 0 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:36:28: STR 14 | EIN 10 | BAU 0 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:36:29: STR 14 | EIN 9 | BAU 1 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:45: STR 13 | EIN 10 | BAU 1 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:46: STR 13 | EIN 9 | BAU 2 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:47: STR 13 | EIN 8 | BAU 3 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:48: STR 13 | EIN 7 | BAU 4 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:49: STR 13 | EIN 6 | BAU 5 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:50: STR 13 | EIN 5 | BAU 5 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:51: STR 13 | EIN 4 | BAU 5 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:52: STR 13 | EIN 3 | BAU 5 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:32:53: STR 13 | EIN 3 | BAU 5 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:36:13: STR 12 | EIN 4 | BAU 5 | PAR 4 [STA 24] | AUS 0 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:38:20: STR 11 | EIN 5 | BAU 5 | PAR 4 [STA 24] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:38:24: STR 10 | EIN 6 | BAU 5 | PAR 4 [STA 24] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:39:49: STR 10 | EIN 6 | BAU 4 | PAR 5 [STA 23] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:36:06: STR 10 | EIN 6 | BAU 3 | PAR 5 [STA 22] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:36:07: STR 10 | EIN 6 | BAU 2 | PAR 5 [STA 21] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:36:08: STR 10 | EIN 6 | BAU 1 | PAR 5 [STA 20] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:36:09: STR 10 | EIN 6 | BAU 0 | PAR 5 [STA 19] | AUS 0 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:38:30: STR 10 | EIN 6 | BAU 0 | PAR 5 [STA 19] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:40:31: STR 9 | EIN 7 | BAU 0 | PAR 5 [STA 19] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:36: STR 8 | EIN 8 | BAU 0 | PAR 5 [STA 19] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:44:42: STR 7 | EIN 9 | BAU 0 | PAR 5 [STA 19] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:46:21: STR 6 | EIN 10 | BAU 0 | PAR 5 [STA 19] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:46:51: STR 6 | EIN 10 | BAU 0 | PAR 4 [STA 19] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:17: STR 6 | EIN 10 | BAU 1 | PAR 3 [STA 19] | AUS 2 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:38:32: STR 6 | EIN 10 | BAU 1 | PAR 2 [STA 19] | AUS 3 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:34:57: STR 6 | EIN 10 | BAU 1 | PAR 1 [STA 19] | AUS 4 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:45:37: STR 6 | EIN 10 | BAU 0 | PAR 1 [STA 19] | AUS 4 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:42:27: STR 6 | EIN 10 | BAU 0 | PAR 1 [STA 19] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:28: STR 6 | EIN 9 | BAU 1 | PAR 1 [STA 19] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:29: STR 6 | EIN 8 | BAU 2 | PAR 1 [STA 19] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:30: STR 6 | EIN 7 | BAU 3 | PAR 1 [STA 19] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:31: STR 6 | EIN 6 | BAU 4 | PAR 1 [STA 19] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:42:32: STR 6 | EIN 5 | BAU 5 | PAR 1 [STA 19] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:45:48: STR 6 | EIN 5 | BAU 4 | PAR 2 [STA 18] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:45:49: STR 6 | EIN 5 | BAU 3 | PAR 3 [STA 17] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:45:50: STR 6 | EIN 5 | BAU 2 | PAR 4 [STA 16] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:45:51: STR 6 | EIN 5 | BAU 1 | PAR 5 [STA 15] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:45:52: STR 6 | EIN 5 | BAU 0 | PAR 5 [STA 14] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:42:42: STR 6 | EIN 5 | BAU 0 | PAR 5 [STA 14] | AUS 4 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:43: STR 6 | EIN 5 | BAU 1 | PAR 5 [STA 14] | AUS 3 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:44: STR 6 | EIN 5 | BAU 2 | PAR 5 [STA 14] | AUS 2 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:45: STR 6 | EIN 5 | BAU 3 | PAR 5 [STA 14] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:42:46: STR 6 | EIN 5 | BAU 4 | PAR 5 [STA 14] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:46:03: STR 6 | EIN 5 | BAU 3 | PAR 5 [STA 14] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:46:04: STR 6 | EIN 5 | BAU 2 | PAR 5 [STA 14] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:46:05: STR 6 | EIN 5 | BAU 1 | PAR 5 [STA 14] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:46:06: STR 6 | EIN 5 | BAU 0 | PAR 5 [STA 14] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:49:55: STR 5 | EIN 6 | BAU 0 | PAR 5 [STA 14] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:50:16: STR 4 | EIN 7 | BAU 0 | PAR 5 [STA 14] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:50:21: STR 3 | EIN 8 | BAU 0 | PAR 5 [STA 14] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:51:02: STR 2 | EIN 9 | BAU 0 | PAR 5 [STA 14] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:52:32: STR 1 | EIN 10 | BAU 0 | PAR 5 [STA 14] | AUS 0 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 11:05:44: STR 1 | EIN 10 | BAU 0 | PAR 4 [STA 14] | AUS 1 || Ampel: AUSFAHRT [Grün: runter vom Parkplatz]
Zustand Uhrzeit: 10:57:49: STR 1 | EIN 10 | BAU 1 | PAR 3 [STA 14] | AUS 2 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:54:45: STR 1 | EIN 10 | BAU 1 | PAR 2 [STA 14] | AUS 3 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:00:43: STR 1 | EIN 10 | BAU 1 | PAR 1 [STA 14] | AUS 4 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 11:01:09: STR 1 | EIN 10 | BAU 0 | PAR 1 [STA 14] | AUS 4 || Ampel: STOP_EINFAHRT [Grün: niemand (hiernach folgt EINFAHRT)]
Zustand Uhrzeit: 10:57:59: STR 1 | EIN 10 | BAU 0 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:58:00: STR 1 | EIN 9 | BAU 1 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:00: STR 0 | EIN 10 | BAU 1 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:01: STR 0 | EIN 9 | BAU 2 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:02: STR 0 | EIN 8 | BAU 3 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:03: STR 0 | EIN 7 | BAU 4 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:04: STR 0 | EIN 6 | BAU 5 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:05: STR 0 | EIN 5 | BAU 5 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:06: STR 0 | EIN 4 | BAU 5 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:07: STR 0 | EIN 3 | BAU 5 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 10:55:08: STR 0 | EIN 3 | BAU 5 | PAR 1 [STA 14] | AUS 4 || Ampel: EINFAHRT [Grün: auf den Parkplatz]
Zustand Uhrzeit: 11:01:20: STR 0 | EIN 3 | BAU 4 | PAR 2 [STA 13] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:58:21: STR 0 | EIN 3 | BAU 3 | PAR 3 [STA 12] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
Zustand Uhrzeit: 10:58:22: STR 0 | EIN 3 | BAU 2 | PAR 4 [STA 11] | AUS 4 || Ampel: STOP_AUSFAHRT [Grün: niemand (hiernach folgt AUSFAHRT)]
